time,temperature,humidity,dew_point
2025-08-13 00:00:00,22.6,95,21.8
2025-08-13 01:00:00,22.4,96,21.7
2025-08-13 02:00:00,22.2,96,21.6
2025-08-13 03:00:00,21.8,94,20.8
2025-08-13 04:00:00,21.7,94,20.7
2025-08-13 05:00:00,21.6,95,20.7
2025-08-13 06:00:00,21.9,94,20.9
2025-08-13 07:00:00,22.5,93,21.4
2025-08-13 08:00:00,23.0,92,21.6
2025-08-13 09:00:00,24.3,85,21.7
2025-08-13 10:00:00,24.8,82,21.4
2025-08-13 11:00:00,26.2,77,21.9
2025-08-13 12:00:00,27.5,69,21.4
2025-08-13 13:00:00,28.3,66,21.4
2025-08-13 14:00:00,28.7,63,20.9
2025-08-13 15:00:00,28.8,61,20.6
2025-08-13 16:00:00,29.0,59,20.3
2025-08-13 17:00:00,29.0,60,20.5
2025-08-13 18:00:00,28.6,65,21.3
2025-08-13 19:00:00,27.8,72,22.3
2025-08-13 20:00:00,26.9,79,23.0
2025-08-13 21:00:00,26.2,80,22.6
2025-08-13 22:00:00,25.4,85,22.8
2025-08-13 23:00:00,24.9,88,22.8
